ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:27:33,1790180853,36,R,177863,333
00:27:34,1790180854,36,R,178002,333
00:27:35,1790180855,36,R,178141,333
00:27:36,1790180856,36,R,178281,333
00:27:37,1790180857,36,R,178421,333
00:27:38,1790180858,36,R,178561,333
00:27:39,1790180859,36,R,178701,333
00:27:40,1790180860,36,R,178840,333
00:27:41,1790180861,36,R,178978,333
00:27:42,1790180862,36,R,179113,333
00:27:43,1790180863,36,R,179248,333
00:27:44,1790180864,36,R,179383,333
00:27:45,1790180865,36,R,179518,333
00:27:46,1790180866,36,R,179653,333
00:27:47,1790180867,36,R,179788,333
00:27:48,1790180868,36,R,179923,333
00:27:49,1790180869,36,R,180057,333
00:27:50,1790180870,36,R,180193,333
00:27:51,1790180871,36,R,180329,333
00:27:52,1790180872,36,R,180463,333
00:27:53,1790180873,36,R,180598,333
00:27:54,1790180874,36,R,180732,333
00:27:55,1790180875,36,R,180866,333
00:27:56,1790180876,36,R,181001,333
00:27:57,1790180877,36,R,181136,333
00:27:58,1790180878,36,R,181270,333
00:27:59,1790180879,36,R,181404,333
00:28:00,1790180880,36,R,181539,333
00:28:01,1790180881,36,R,181673,333
00:28:02,1790180882,36,R,181807,333
00:28:03,1790180883,36,R,181942,333
00:28:04,1790180884,36,R,182076,333
00:28:05,1790180885,36,R,182211,333
00:28:06,1790180886,36,R,182346,333
00:28:07,1790180887,36,R,182480,333
00:28:08,1790180888,36,R,182615,333
00:28:09,1790180889,36,R,182749,333
00:28:10,1790180890,36,R,182884,333
00:28:11,1790180891,36,R,183019,333
00:28:12,1790180892,36,R,183153,333
00:28:13,1790180893,36,R,183288,333
00:28:14,1790180894,36,R,183422,333
00:28:15,1790180895,36,R,183557,333
00:28:16,1790180896,36,R,183692,333
00:28:17,1790180897,36,R,183826,333
00:28:18,1790180898,36,R,183960,333
00:28:19,1790180899,36,R,184094,333
00:28:20,1790180900,36,R,184228,333
00:28:21,1790180901,36,R,184364,333
00:28:22,1790180902,36,R,184498,333
00:28:23,1790180903,36,R,184639,333
00:28:24,1790180904,36,R,184794,333
00:28:25,1790180905,36,R,184933,333
00:28:26,1790180906,36,R,185072,333
00:28:27,1790180907,36,R,185210,333
00:28:28,1790180908,36,R,185349,333
00:28:29,1790180909,36,R,185487,333
00:28:30,1790180910,36,R,185627,333
00:28:31,1790180911,36,R,185766,333
00:28:32,1790180912,36,R,185904,333
00:28:33,1790180913,36,R,186044,333
00:28:34,1790180914,36,R,186184,333
00:28:35,1790180915,36,R,186322,333
00:28:36,1790180916,36,R,186462,333
00:28:37,1790180917,36,R,186600,333
00:28:38,1790180918,36,R,186739,333
00:28:39,1790180919,36,R,186878,333
00:28:40,1790180920,36,R,187019,333
00:28:41,1790180921,36,R,187159,333
00:28:42,1790180922,36,R,187298,333
00:28:43,1790180923,36,R,187435,333
00:28:44,1790180924,36,R,187570,333
00:28:45,1790180925,36,R,187705,333
00:28:46,1790180926,36,R,187841,333
00:28:47,1790180927,36,R,187976,333
00:28:48,1790180928,36,R,188112,333
00:28:49,1790180929,36,R,188247,333
00:28:50,1790180930,36,R,188383,333
00:28:51,1790180931,36,R,188519,333
00:28:52,1790180932,36,R,188654,333
00:28:53,1790180933,36,R,188789,333
00:28:54,1790180934,36,R,188925,333
00:28:55,1790180935,36,R,189061,333
00:28:56,1790180936,36,R,189196,333
00:28:57,1790180937,36,R,189331,333
00:28:58,1790180938,36,R,189468,333
00:28:59,1790180939,36,R,189604,333
00:29:00,1790180940,36,R,189741,333
00:29:01,1790180941,36,R,189875,333
00:29:02,1790180942,36,R,190011,333
00:29:03,1790180943,36,R,190148,333
00:29:04,1790180944,36,R,190283,333
00:29:05,1790180945,36,R,190418,333
00:29:06,1790180946,36,R,190554,333
00:29:07,1790180947,36,R,190690,333
00:29:08,1790180948,36,R,190827,333
00:29:09,1790180949,36,R,190963,333
00:29:10,1790180950,36,R,191099,333
00:29:11,1790180951,36,R,191235,333
00:29:12,1790180952,36,R,191371,333
00:29:13,1790180953,36,R,191506,333
00:29:14,1790180954,36,R,191642,333
00:29:15,1790180955,36,R,191778,333
00:29:16,1790180956,36,R,191913,333
00:29:17,1790180957,36,R,192049,333
00:29:18,1790180958,36,R,192185,333
00:29:19,1790180959,36,R,192320,333
00:29:20,1790180960,36,R,192456,333
00:29:21,1790180961,36,R,192591,333
00:29:22,1790180962,36,R,192727,333
00:29:23,1790180963,36,R,192862,333
00:29:24,1790180964,36,R,192997,333
00:29:25,1790180965,36,R,193155,333
00:29:26,1790180966,36,R,193295,333
00:29:27,1790180967,36,R,193434,333
00:29:28,1790180968,36,R,193573,333
00:29:29,1790180969,36,R,193712,333
00:29:30,1790180970,36,R,193851,333
00:29:31,1790180971,36,R,193992,333
00:29:32,1790180972,36,R,194131,333
00:29:33,1790180973,36,R,194270,333
00:29:34,1790180974,36,R,194410,333
00:29:35,1790180975,36,R,194551,333
00:29:36,1790180976,36,R,194691,333
00:29:37,1790180977,36,R,194831,333
00:29:38,1790180978,36,R,194970,333
00:29:39,1790180979,36,R,195109,333
00:29:40,1790180980,36,R,195249,333
00:29:41,1790180981,36,R,195390,333
00:29:42,1790180982,36,R,195529,333
00:29:43,1790180983,36,R,195681,333
